,values,eff,size,lowerCI_95%,upperCI_95%,feature
0,0.0,0.03245451857158345,0.0,,,dns_interlog_time_q1
1,1.0,0.03245451857158345,3038.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
2,2.0,0.03245451857158345,152.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
3,3.0,0.03245451857158345,88.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
4,5.0,0.03245451857158345,102.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
5,7.0,0.03245451857158345,85.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
6,10.0,0.03245451857158345,114.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
7,12.0,0.03245451857158345,76.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
8,16.0,0.03245451857158345,143.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
9,20.0,0.03245451857158345,75.0,0.03245451857158345,0.03245451857158345,dns_interlog_time_q1
10,25.0,0.012652538373563647,101.0,-0.014988009974486814,0.04029308672161411,dns_interlog_time_q1
11,33.0,-0.043799074529662155,124.0,-0.0849907790604279,-0.0026073699988964083,dns_interlog_time_q1
12,40.0,-0.08546574119632881,96.0,-0.13567414352737703,-0.035257338865280596,dns_interlog_time_q1
13,56.0,-0.08546574119632881,104.0,-0.08546574119632881,-0.08546574119632881,dns_interlog_time_q1
14,101.0,-0.1043336657246307,106.0,-0.13066139529140955,-0.07800593615785184,dns_interlog_time_q1
15,204.0,-0.1043336657246307,108.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
16,241.0,-0.1043336657246307,107.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
17,277.0,-0.1043336657246307,108.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
18,312.0,-0.1043336657246307,106.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
19,378.0,-0.1043336657246307,109.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
20,429.0,-0.1043336657246307,107.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
21,463.0,-0.1043336657246307,107.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
22,495.0,-0.1043336657246307,111.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
23,587.0,-0.1043336657246307,104.0,-0.1043336657246307,-0.1043336657246307,dns_interlog_time_q1
0,0.0,-0.00028520851135538215,5162.0,,,dns_interlog_time_q2
1,1.0,0.007044240840270252,159.0,0.0034583100771967377,0.010630171603343766,dns_interlog_time_q2
2,2.0,0.007044240840270252,35.0,0.007044240840270252,0.007044240840270252,dns_interlog_time_q2
3,3.0,0.007044240840270252,6.0,0.007044240840270252,0.007044240840270252,dns_interlog_time_q2
4,4.0,0.007044240840270252,5.0,0.007044240840270252,0.007044240840270252,dns_interlog_time_q2
5,5.0,0.007044240840270252,4.0,0.007044240840270252,0.007044240840270252,dns_interlog_time_q2
0,0.0,0.0,5245.0,,,dns_interlog_time_q3
1,1.0,0.0,114.0,0.0,0.0,dns_interlog_time_q3
2,2.0,0.0,12.0,0.0,0.0,dns_interlog_time_q3
0,0.0,0.0,5297.0,,,dns_interlog_time_q4
1,1.0,0.0,74.0,0.0,0.0,dns_interlog_time_q4
0,0.0,0.0,5359.0,,,dns_interlog_time_q5
1,1.0,0.0,12.0,0.0,0.0,dns_interlog_time_q5
0,0.0,-0.08000281271114833,0.0,,,ssl_interlog_time_q1
1,2.0,-0.08000281271114833,478.0,-0.08000281271114833,-0.08000281271114833,ssl_interlog_time_q1
2,3.0,-0.08000281271114833,62.0,-0.08000281271114833,-0.08000281271114833,ssl_interlog_time_q1
3,5.0,-0.08000281271114833,125.0,-0.08000281271114833,-0.08000281271114833,ssl_interlog_time_q1
4,7.0,-0.08000281271114833,108.0,-0.08000281271114833,-0.08000281271114833,ssl_interlog_time_q1
5,10.0,-0.08000281271114833,100.0,-0.08000281271114833,-0.08000281271114833,ssl_interlog_time_q1
6,13.0,-0.028150960859296477,135.0,-0.0660349641573929,0.009733042438799952,ssl_interlog_time_q1
7,16.0,-0.028150960859296477,101.0,-0.028150960859296477,-0.028150960859296477,ssl_interlog_time_q1
8,19.0,-0.028150960859296477,105.0,-0.028150960859296477,-0.028150960859296477,ssl_interlog_time_q1
9,22.0,-0.028150960859296477,103.0,-0.028150960859296477,-0.028150960859296477,ssl_interlog_time_q1
10,25.0,-0.000878233586569202,110.0,-0.03179849155052805,0.030042024377389644,ssl_interlog_time_q1
11,28.0,-0.000878233586569202,91.0,-0.000878233586569202,-0.000878233586569202,ssl_interlog_time_q1
12,33.0,-0.000878233586569202,105.0,-0.000878233586569202,-0.000878233586569202,ssl_interlog_time_q1
13,38.0,-0.000878233586569202,98.0,-0.000878233586569202,-0.000878233586569202,ssl_interlog_time_q1
14,43.0,-0.000878233586569202,125.0,-0.000878233586569202,-0.000878233586569202,ssl_interlog_time_q1
15,48.0,0.01011077740244179,91.0,-0.011720810955563331,0.031942365760446914,ssl_interlog_time_q1
16,55.0,0.01011077740244179,120.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
17,61.0,0.01011077740244179,96.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
18,67.0,0.01011077740244179,108.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
19,74.0,0.01011077740244179,114.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
20,80.0,0.01011077740244179,99.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
21,88.0,0.01011077740244179,119.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
22,94.0,0.01011077740244179,100.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
23,101.0,0.01011077740244179,108.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
24,108.0,0.01011077740244179,102.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
25,117.0,0.01011077740244179,118.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
26,124.0,0.01011077740244179,95.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
27,135.0,0.01011077740244179,107.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
28,146.0,0.01011077740244179,112.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
29,156.0,0.01011077740244179,108.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
30,168.0,0.01011077740244179,113.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
31,179.0,0.01011077740244179,97.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
32,192.0,0.01011077740244179,109.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
33,204.0,0.01011077740244179,106.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
34,221.0,0.01011077740244179,114.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
35,239.0,0.01011077740244179,105.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
36,257.0,0.01011077740244179,104.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
37,277.0,0.01011077740244179,109.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
38,297.0,0.01011077740244179,108.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
39,326.0,0.01011077740244179,104.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
40,361.0,0.01011077740244179,113.0,0.01011077740244179,0.01011077740244179,ssl_interlog_time_q1
41,403.0,0.019914698971069247,102.0,0.0004663558055272715,0.03936304213661122,ssl_interlog_time_q1
42,451.0,0.05695173600810628,108.0,0.02075922902984729,0.09314424298636528,ssl_interlog_time_q1
43,494.0,0.05695173600810628,106.0,0.05695173600810628,0.05695173600810628,ssl_interlog_time_q1
44,574.0,0.05695173600810628,107.0,0.05695173600810628,0.05695173600810628,ssl_interlog_time_q1
45,722.0,0.05695173600810628,108.0,0.05695173600810628,0.05695173600810628,ssl_interlog_time_q1
46,961.0,0.05695173600810628,107.0,0.05695173600810628,0.05695173600810628,ssl_interlog_time_q1
47,4181.0,0.5013961804525507,108.0,0.40616739500022764,0.5966249659048739,ssl_interlog_time_q1
0,0.0,-0.1275477058755968,0.0,,,ssl_interlog_time_q2
1,1.0,0.034039413158330756,3478.0,0.021800882177351245,0.046277944139310266,ssl_interlog_time_q2
2,2.0,0.0967305446568017,654.0,0.07810360005956504,0.11535748925403835,ssl_interlog_time_q2
3,3.0,0.0967305446568017,477.0,0.0967305446568017,0.0967305446568017,ssl_interlog_time_q2
4,4.0,0.0967305446568017,349.0,0.0967305446568017,0.0967305446568017,ssl_interlog_time_q2
5,5.0,0.0967305446568017,215.0,0.0967305446568017,0.0967305446568017,ssl_interlog_time_q2
6,6.0,0.0967305446568017,132.0,0.0967305446568017,0.0967305446568017,ssl_interlog_time_q2
7,10.0,0.0967305446568017,66.0,0.0967305446568017,0.0967305446568017,ssl_interlog_time_q2
0,0.0,0.00019349078406052142,4060.0,,,ssl_interlog_time_q3
1,1.0,-0.0005992163106679764,986.0,-0.0013760103442335171,0.00017757772289756434,ssl_interlog_time_q3
2,2.0,-0.0005992163106679764,266.0,-0.0005992163106679764,-0.0005992163106679764,ssl_interlog_time_q3
3,3.0,-0.0005992163106679764,51.0,-0.0005992163106679764,-0.0005992163106679764,ssl_interlog_time_q3
4,4.0,-0.0005992163106679764,8.0,-0.0005992163106679764,-0.0005992163106679764,ssl_interlog_time_q3
0,0.0,0.0,5065.0,,,ssl_interlog_time_q4
1,1.0,0.0,295.0,0.0,0.0,ssl_interlog_time_q4
2,2.0,0.0,11.0,0.0,0.0,ssl_interlog_time_q4
0,0.0,-0.0003996370379860208,5291.0,,,ssl_interlog_time_q5
1,1.0,0.02643099459980045,76.0,0.021694186527387433,0.03116780267221347,ssl_interlog_time_q5
2,2.0,0.02643099459980045,4.0,0.02643099459980045,0.02643099459980045,ssl_interlog_time_q5
0,0.0,0.0,0.0,,,http_interlog_time_q1
1,1.0,0.0,813.0,0.0,0.0,http_interlog_time_q1
2,2.0,0.0,165.0,0.0,0.0,http_interlog_time_q1
3,3.0,0.0,185.0,0.0,0.0,http_interlog_time_q1
4,4.0,0.0,189.0,0.0,0.0,http_interlog_time_q1
5,5.0,0.0,186.0,0.0,0.0,http_interlog_time_q1
6,6.0,0.0,218.0,0.0,0.0,http_interlog_time_q1
7,7.0,0.0,141.0,0.0,0.0,http_interlog_time_q1
8,8.0,0.0,186.0,0.0,0.0,http_interlog_time_q1
9,9.0,0.0,142.0,0.0,0.0,http_interlog_time_q1
