,BinaryLabel,Model__batch_size,Model__lr,Model__optimizer,preprocessor__num__scaler
0,1,16,0.001,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
1,1,16,0.001,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
2,0,16,0.001,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
3,1,16,0.001,<class 'torch.optim.adam.Adam'>,StandardScaler()
4,1,16,0.001,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
5,0,16,0.001,<class 'torch.optim.adam.Adam'>,RobustScaler()
6,0,16,0.001,<class 'torch.optim.sgd.SGD'>,StandardScaler()
7,0,16,0.001,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
8,0,16,0.001,<class 'torch.optim.sgd.SGD'>,RobustScaler()
9,1,16,0.01,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
10,1,16,0.01,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
11,0,16,0.01,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
12,1,16,0.01,<class 'torch.optim.adam.Adam'>,StandardScaler()
13,1,16,0.01,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
14,0,16,0.01,<class 'torch.optim.adam.Adam'>,RobustScaler()
15,1,16,0.01,<class 'torch.optim.sgd.SGD'>,StandardScaler()
16,1,16,0.01,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
17,0,16,0.01,<class 'torch.optim.sgd.SGD'>,RobustScaler()
18,1,16,0.1,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
19,0,16,0.1,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
20,0,16,0.1,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
21,1,16,0.1,<class 'torch.optim.adam.Adam'>,StandardScaler()
22,0,16,0.1,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
23,0,16,0.1,<class 'torch.optim.adam.Adam'>,RobustScaler()
24,1,16,0.1,<class 'torch.optim.sgd.SGD'>,StandardScaler()
25,0,16,0.1,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
26,0,16,0.1,<class 'torch.optim.sgd.SGD'>,RobustScaler()
27,1,64,0.001,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
28,1,64,0.001,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
29,0,64,0.001,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
30,1,64,0.001,<class 'torch.optim.adam.Adam'>,StandardScaler()
31,1,64,0.001,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
32,0,64,0.001,<class 'torch.optim.adam.Adam'>,RobustScaler()
33,0,64,0.001,<class 'torch.optim.sgd.SGD'>,StandardScaler()
34,0,64,0.001,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
35,0,64,0.001,<class 'torch.optim.sgd.SGD'>,RobustScaler()
36,1,64,0.01,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
37,0,64,0.01,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
38,0,64,0.01,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
39,0,64,0.01,<class 'torch.optim.adam.Adam'>,StandardScaler()
40,1,64,0.01,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
41,0,64,0.01,<class 'torch.optim.adam.Adam'>,RobustScaler()
42,1,64,0.01,<class 'torch.optim.sgd.SGD'>,StandardScaler()
43,0,64,0.01,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
44,0,64,0.01,<class 'torch.optim.sgd.SGD'>,RobustScaler()
45,1,64,0.1,<class 'torch.optim.adamw.AdamW'>,StandardScaler()
46,0,64,0.1,<class 'torch.optim.adamw.AdamW'>,MinMaxScaler()
47,0,64,0.1,<class 'torch.optim.adamw.AdamW'>,RobustScaler()
48,1,64,0.1,<class 'torch.optim.adam.Adam'>,StandardScaler()
49,0,64,0.1,<class 'torch.optim.adam.Adam'>,MinMaxScaler()
50,0,64,0.1,<class 'torch.optim.adam.Adam'>,RobustScaler()
51,1,64,0.1,<class 'torch.optim.sgd.SGD'>,StandardScaler()
52,1,64,0.1,<class 'torch.optim.sgd.SGD'>,MinMaxScaler()
53,0,64,0.1,<class 'torch.optim.sgd.SGD'>,RobustScaler()
