,dns_interlog_time_q1,dns_interlog_time_q2,dns_interlog_time_q3,dns_interlog_time_q4,dns_interlog_time_q5,ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,http_interlog_time_q1,http_interlog_time_q2,http_interlog_time_q3,http_interlog_time_q4,http_interlog_time_q5,mean_interlog_time_dns_interlog_time,std_interlog_time_dns_interlog_time,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,mean_interlog_time_http_interlog_time,std_interlog_time_http_interlog_time,dns_protocol_tcp_ratio,dns_common_tcp_ports_ratio,dns_common_udp_ports_ratio,dns_rcode_error_ratio,dns_rcode_nxdomain_ratio,dns_rcode_noauth_ratio,dns_rcode_refused_ratio,dns_rcode_notzone_ratio,dns_authoritative_ans_ratio,dns_recursion_desired_ratio,dns_rejected_ratio,dns_truncation_ratio,dns_mean_TTL,dns_len_TTL,dns_qtype_obsolete_ratio,dns_non_reserved_srcport_ratio,dns_non_reserved_dstport_ratio,dns_usual_dns_srcport_ratio,dns_usual_dns_dstport_ratio,dns_shorturl_ratio,dns_compromised_domain_ratio,dns_compromised_dstip_ratio,dns_socialmedia_ratio,ssl_version_ratio_v10,ssl_version_ratio_v20,ssl_version_ratio_v30,ssl_established_ratio,ssl_compromised_dst_ip_ratio,ssl_resumed_ratio,ssl_validation_status_ratio,ssl_curve_standard_ratio,ssl_last_alert_ratio,http_request_body_len_ratio,http_response_body_len_ratio,http_method_get_ratio,http_method_post_ratio,http_method_head_ratio,http_method_put_ratio,http_status_200_ratio,http_status_400_ratio,http_private_con_ratio,http_compromised_dstip_ratio,http_version_obsolete_ratio,smtp_in_mean_hops,smtp_subject_num_words,smtp_subject_num_characters,smtp_subject_richness,smtp_subject_in_phishing_words,smtp_in_is_reply,smtp_in_is_forwarded,smtp_in_is_normal,smtp_in_is_spam,smtp_in_files,smtp_in_hazardous_extensions,non_working_days_dns,non_working_days_http,non_working_days_ssl,non_working_hours_dns,non_working_hours_http,non_working_hours_ssl,GroundTruth,Predicted
2,22.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.14209090909090907,0.0,7.334387096774192,0.0,41.872499999999995,0.0,0.0,0.0,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,7339.754761904762,1.7857142857142858,0.6785714285714286,1.0,0.35714285714285715,0.32142857142857145,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.6571428571428571,0.6261904761904762,0.8902088554720133,0.0,0.0,629.2352941176471,1.0,0.0,0.0,0.0,0.8823529411764706,0.11764705882352941,6.176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1
4,4.0,0.0,0.0,0.0,0.0,127.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.28600000000000003,0.0,4.429265624999999,0.0,50.24183333333334,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,467.0,1.7777777777777777,0.4444444444444444,1.0,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22302158273381295,0.0,0.841726618705036,0.8273381294964028,0.974357356220287,0.0,133.71428571428572,676.6190476190476,0.9047619047619048,0.09523809523809523,0.0,0.0,0.8571428571428571,0.09523809523809523,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,1
5,0.0,0.0,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,5.160551020408162,0.0,77.323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2358490566037736,0.0,0.8773584905660378,0.7735849056603774,0.9779046673286992,0.0,216.0,913.9230769230769,0.8461538461538461,0.15384615384615385,0.0,0.0,0.8461538461538461,0.07692307692307693,7.461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
9,21.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.14738095238095236,0.0,11.82414893617021,0.0,0.2717777777777778,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,3612.327976190477,1.8928571428571428,0.7142857142857143,1.0,0.35714285714285715,0.2857142857142857,0.9285714285714286,0.0,0.03571428571428571,0.0,0.0,1.0,0.0,0.0,0.4074074074074074,0.0,0.7037037037037037,0.6481481481481481,0.8908179012345679,0.0,0.0,9557.266666666666,0.8,0.0,0.2,0.0,0.6,0.26666666666666666,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73877358490566,0.0,8.299564102564103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3728813559322034,0.0,0.6779661016949152,0.3855932203389831,0.8588574189711567,0.0,31.2,2812.1555555555556,0.9111111111111111,0.044444444444444446,0.044444444444444446,0.0,0.8444444444444444,0.044444444444444446,34.24444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11,1.0,0.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.958,0.0,13.145885714285713,0.0,8.1033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3717948717948718,0.0,0.7051282051282052,0.5352564102564102,0.8932383040935673,0.0,29.25,2637.1875,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.0,0.8541666666666666,0.041666666666666664,32.291666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
12,1.0,0.0,0.0,0.0,0.0,77.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,1.958,0.0,16.231683544303795,0.0,19.34156097560976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39325842696629215,0.0,0.7078651685393258,0.4691011235955056,0.8727257047112162,0.0,27.529411764705884,2484.921568627451,0.9019607843137255,0.0392156862745098,0.058823529411764705,0.0,0.803921568627451,0.0784313725490196,30.568627450980394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
13,3.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0.8183333333333334,0.0,14.945727272727272,0.0,18.744851063829792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.0,0.73,0.4175,0.8867258771929825,0.0,47.59322033898305,2160.4745762711864,0.8983050847457628,0.05084745762711865,0.05084745762711865,0.0,0.7966101694915254,0.0847457627118644,27.508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
14,3.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.8183333333333334,0.0,17.756054794520548,0.0,19.556711111111113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3253012048192771,0.0,0.7349397590361446,0.29819277108433734,0.8771797717184527,0.0,51.054545454545455,2316.509090909091,0.8909090909090909,0.05454545454545454,0.05454545454545454,0.0,0.7818181818181819,0.09090909090909091,29.21818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
15,3.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.8183333333333334,0.0,13.591160714285715,0.0,19.556711111111113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34375,0.0,0.75,0.38671875,0.8963815789473684,0.0,52.9811320754717,2388.8490566037735,0.8867924528301887,0.05660377358490566,0.05660377358490566,0.0,0.7924528301886793,0.07547169811320754,30.245283018867923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
