,Hyperparameter1,Hyperparameter2,Hyperparameter1_value,Hyperparameter2_value,pdp2d_value
0,Model__max_depth,Model__min_child_weight,2,1,0.6335833536982536
1,Model__max_depth,Model__min_child_weight,2,2,0.6335833536982536
2,Model__max_depth,Model__min_child_weight,2,3,0.6333151717782021
3,Model__max_depth,Model__min_child_weight,3,1,0.6335833536982536
4,Model__max_depth,Model__min_child_weight,3,2,0.6335833536982536
5,Model__max_depth,Model__min_child_weight,3,3,0.6333151717782021
6,Model__max_depth,Model__min_child_weight,4,1,0.6335488308668137
7,Model__max_depth,Model__min_child_weight,4,2,0.6335488308668137
8,Model__max_depth,Model__min_child_weight,4,3,0.632656086742878
9,Model__max_depth,Model__min_child_weight,5,1,0.6335488308668137
10,Model__max_depth,Model__min_child_weight,5,2,0.6335488308668137
11,Model__max_depth,Model__min_child_weight,5,3,0.632656086742878
12,Model__max_depth,Model__min_child_weight,6,1,0.6402402440309525
13,Model__max_depth,Model__min_child_weight,6,2,0.6402402440309525
14,Model__max_depth,Model__min_child_weight,6,3,0.6397009915709495
15,Model__max_depth,Model__min_child_weight,7,1,0.6402402440309525
16,Model__max_depth,Model__min_child_weight,7,2,0.6402402440309525
17,Model__max_depth,Model__min_child_weight,7,3,0.6397009915709495
18,Model__max_depth,Model__min_child_weight,8,1,0.6402402440309525
19,Model__max_depth,Model__min_child_weight,8,2,0.6402402440309525
20,Model__max_depth,Model__min_child_weight,8,3,0.6397009915709495
21,Model__max_depth,Model__min_child_weight,9,1,0.6402402440309525
22,Model__max_depth,Model__min_child_weight,9,2,0.6402402440309525
23,Model__max_depth,Model__min_child_weight,9,3,0.6397009915709495
24,Model__max_depth,Model__min_child_weight,10,1,0.6409383066296578
25,Model__max_depth,Model__min_child_weight,10,2,0.6409383066296578
26,Model__max_depth,Model__min_child_weight,10,3,0.6425616580247879
27,Model__max_depth,Model__learning_rate,2,0.001,0.5997585172653198
28,Model__max_depth,Model__learning_rate,2,0.01,0.6271023905277252
29,Model__max_depth,Model__learning_rate,2,0.1,0.6747773950695991
30,Model__max_depth,Model__learning_rate,3,0.001,0.5997585172653198
31,Model__max_depth,Model__learning_rate,3,0.01,0.6271023905277252
32,Model__max_depth,Model__learning_rate,3,0.1,0.6747773950695991
33,Model__max_depth,Model__learning_rate,4,0.001,0.599768620789051
34,Model__max_depth,Model__learning_rate,4,0.01,0.63586128115654
35,Model__max_depth,Model__learning_rate,4,0.1,0.6651769242882729
36,Model__max_depth,Model__learning_rate,5,0.001,0.599768620789051
37,Model__max_depth,Model__learning_rate,5,0.01,0.63586128115654
38,Model__max_depth,Model__learning_rate,5,0.1,0.6651769242882729
39,Model__max_depth,Model__learning_rate,6,0.001,0.599768620789051
40,Model__max_depth,Model__learning_rate,6,0.01,0.6521178742647171
41,Model__max_depth,Model__learning_rate,6,0.1,0.6688206450939178
42,Model__max_depth,Model__learning_rate,7,0.001,0.599768620789051
43,Model__max_depth,Model__learning_rate,7,0.01,0.6521178742647171
44,Model__max_depth,Model__learning_rate,7,0.1,0.6688206450939178
45,Model__max_depth,Model__learning_rate,8,0.001,0.599768620789051
46,Model__max_depth,Model__learning_rate,8,0.01,0.6521178742647171
47,Model__max_depth,Model__learning_rate,8,0.1,0.6688206450939178
48,Model__max_depth,Model__learning_rate,9,0.001,0.599768620789051
49,Model__max_depth,Model__learning_rate,9,0.01,0.6521178742647171
50,Model__max_depth,Model__learning_rate,9,0.1,0.6688206450939178
51,Model__max_depth,Model__learning_rate,10,0.001,0.5997707417011261
52,Model__max_depth,Model__learning_rate,10,0.01,0.654639090180397
53,Model__max_depth,Model__learning_rate,10,0.1,0.6698031033277512
54,Model__max_depth,Model__n_estimators,2,25,0.6198627537488938
55,Model__max_depth,Model__n_estimators,2,26,0.6198627537488938
56,Model__max_depth,Model__n_estimators,2,27,0.6198627537488938
57,Model__max_depth,Model__n_estimators,2,28,0.6198627537488938
58,Model__max_depth,Model__n_estimators,2,29,0.6198627537488938
59,Model__max_depth,Model__n_estimators,2,30,0.6198627537488938
60,Model__max_depth,Model__n_estimators,2,31,0.6198627537488938
61,Model__max_depth,Model__n_estimators,2,32,0.6198627537488938
62,Model__max_depth,Model__n_estimators,2,33,0.6198627537488938
63,Model__max_depth,Model__n_estimators,2,34,0.6198627537488938
64,Model__max_depth,Model__n_estimators,2,35,0.6198627537488938
65,Model__max_depth,Model__n_estimators,2,36,0.6198627537488938
66,Model__max_depth,Model__n_estimators,2,37,0.6198627537488938
67,Model__max_depth,Model__n_estimators,2,38,0.6198627537488938
68,Model__max_depth,Model__n_estimators,2,39,0.6198627537488938
69,Model__max_depth,Model__n_estimators,2,40,0.6198627537488938
70,Model__max_depth,Model__n_estimators,2,41,0.6198627537488938
71,Model__max_depth,Model__n_estimators,2,42,0.6198627537488938
72,Model__max_depth,Model__n_estimators,2,43,0.6198627537488938
73,Model__max_depth,Model__n_estimators,2,44,0.6198627537488938
74,Model__max_depth,Model__n_estimators,2,45,0.6198627537488938
75,Model__max_depth,Model__n_estimators,2,46,0.6198627537488938
76,Model__max_depth,Model__n_estimators,2,47,0.6198627537488938
77,Model__max_depth,Model__n_estimators,2,48,0.6198627537488938
78,Model__max_depth,Model__n_estimators,2,49,0.6198627537488938
79,Model__max_depth,Model__n_estimators,2,50,0.6352052318453789
80,Model__max_depth,Model__n_estimators,2,51,0.6352052318453789
81,Model__max_depth,Model__n_estimators,2,52,0.6352052318453789
82,Model__max_depth,Model__n_estimators,2,53,0.6352052318453789
83,Model__max_depth,Model__n_estimators,2,54,0.6352052318453789
84,Model__max_depth,Model__n_estimators,2,55,0.6352052318453789
85,Model__max_depth,Model__n_estimators,2,56,0.6352052318453789
86,Model__max_depth,Model__n_estimators,2,57,0.6352052318453789
87,Model__max_depth,Model__n_estimators,2,58,0.6352052318453789
88,Model__max_depth,Model__n_estimators,2,59,0.6352052318453789
89,Model__max_depth,Model__n_estimators,2,60,0.6352052318453789
90,Model__max_depth,Model__n_estimators,2,61,0.6352052318453789
91,Model__max_depth,Model__n_estimators,2,62,0.6352052318453789
92,Model__max_depth,Model__n_estimators,2,63,0.6352052318453789
93,Model__max_depth,Model__n_estimators,2,64,0.6352052318453789
94,Model__max_depth,Model__n_estimators,2,65,0.6352052318453789
95,Model__max_depth,Model__n_estimators,2,66,0.6352052318453789
96,Model__max_depth,Model__n_estimators,2,67,0.6352052318453789
97,Model__max_depth,Model__n_estimators,2,68,0.6352052318453789
