,eff,values,feature
0,0.5997662840485573,0.001,Model__learing_rate
1,0.6436570723056794,0.01,Model__learing_rate
2,0.6690635244250298,0.1,Model__learing_rate
0,0.6324963468313217,2.0,Model__max_depth
1,0.6324963468313217,3.0,Model__max_depth
2,0.6346949075460434,4.0,Model__max_depth
3,0.6346949075460434,5.0,Model__max_depth
4,0.6441254140138626,6.0,Model__max_depth
5,0.6441254140138626,7.0,Model__max_depth
6,0.6441254140138626,8.0,Model__max_depth
7,0.6441254140138626,9.0,Model__max_depth
8,0.6456932403445244,10.0,Model__max_depth
0,0.6398456367254257,1.0,Model__min_child_weight
1,0.6398456367254257,2.0,Model__min_child_weight
2,0.6394692515134811,3.0,Model__min_child_weight
0,0.6245596023797989,25.0,Model__n_estimators
1,0.6245596023797989,26.0,Model__n_estimators
2,0.6245596023797989,27.0,Model__n_estimators
3,0.6245596023797989,28.0,Model__n_estimators
4,0.6245596023797989,29.0,Model__n_estimators
5,0.6245596023797989,30.0,Model__n_estimators
6,0.6245596023797989,31.0,Model__n_estimators
7,0.6245596023797989,32.0,Model__n_estimators
8,0.6245596023797989,33.0,Model__n_estimators
9,0.6245596023797989,34.0,Model__n_estimators
10,0.6245596023797989,35.0,Model__n_estimators
11,0.6245596023797989,36.0,Model__n_estimators
12,0.6245596023797989,37.0,Model__n_estimators
13,0.6245596023797989,38.0,Model__n_estimators
14,0.6245596023797989,39.0,Model__n_estimators
15,0.6245596023797989,40.0,Model__n_estimators
16,0.6245596023797989,41.0,Model__n_estimators
17,0.6245596023797989,42.0,Model__n_estimators
18,0.6245596023797989,43.0,Model__n_estimators
19,0.6245596023797989,44.0,Model__n_estimators
20,0.6245596023797989,45.0,Model__n_estimators
21,0.6245596023797989,46.0,Model__n_estimators
22,0.6245596023797989,47.0,Model__n_estimators
23,0.6245596023797989,48.0,Model__n_estimators
24,0.6245596023797989,49.0,Model__n_estimators
25,0.6413671851158143,50.0,Model__n_estimators
26,0.6413671851158143,51.0,Model__n_estimators
27,0.6413671851158143,52.0,Model__n_estimators
28,0.6413671851158143,53.0,Model__n_estimators
29,0.6413671851158143,54.0,Model__n_estimators
30,0.6413671851158143,55.0,Model__n_estimators
31,0.6413671851158143,56.0,Model__n_estimators
32,0.6413671851158143,57.0,Model__n_estimators
33,0.6413671851158143,58.0,Model__n_estimators
34,0.6413671851158143,59.0,Model__n_estimators
35,0.6413671851158143,60.0,Model__n_estimators
36,0.6413671851158143,61.0,Model__n_estimators
37,0.6413671851158143,62.0,Model__n_estimators
38,0.6413671851158143,63.0,Model__n_estimators
39,0.6413671851158143,64.0,Model__n_estimators
40,0.6413671851158143,65.0,Model__n_estimators
41,0.6413671851158143,66.0,Model__n_estimators
42,0.6413671851158143,67.0,Model__n_estimators
43,0.6413671851158143,68.0,Model__n_estimators
44,0.6413671851158143,69.0,Model__n_estimators
45,0.6413671851158143,70.0,Model__n_estimators
46,0.6413671851158143,71.0,Model__n_estimators
47,0.6413671851158143,72.0,Model__n_estimators
48,0.6413671851158143,73.0,Model__n_estimators
49,0.6413671851158143,74.0,Model__n_estimators
50,0.6504968386888504,75.0,Model__n_estimators
51,0.6504968386888504,76.0,Model__n_estimators
52,0.6504968386888504,77.0,Model__n_estimators
53,0.6504968386888504,78.0,Model__n_estimators
54,0.6504968386888504,79.0,Model__n_estimators
55,0.6504968386888504,80.0,Model__n_estimators
56,0.6504968386888504,81.0,Model__n_estimators
57,0.6504968386888504,82.0,Model__n_estimators
58,0.6504968386888504,83.0,Model__n_estimators
59,0.6504968386888504,84.0,Model__n_estimators
60,0.6504968386888504,85.0,Model__n_estimators
61,0.6504968386888504,86.0,Model__n_estimators
62,0.6504968386888504,87.0,Model__n_estimators
63,0.6504968386888504,88.0,Model__n_estimators
64,0.6504968386888504,89.0,Model__n_estimators
65,0.6504968386888504,90.0,Model__n_estimators
66,0.6504968386888504,91.0,Model__n_estimators
67,0.6504968386888504,92.0,Model__n_estimators
68,0.6504968386888504,93.0,Model__n_estimators
69,0.6504968386888504,94.0,Model__n_estimators
70,0.6504968386888504,95.0,Model__n_estimators
71,0.6504968386888504,96.0,Model__n_estimators
72,0.6504968386888504,97.0,Model__n_estimators
73,0.6504968386888504,98.0,Model__n_estimators
74,0.6504968386888504,99.0,Model__n_estimators
75,0.6504289728999137,100.0,Model__n_estimators
0,0.6397329380512238,StandardScaler(),preprocessor__num__scaler
1,0.6397329380512238,MinMaxScaler(),preprocessor__num__scaler
2,0.6397329380512238,RobustScaler(),preprocessor__num__scaler
